igenome	isuperkingdom	ikingdom	iclade	iphylum	iclass	iorder	ifamily	igenus	ispecies	genome	superkingdom	kingdom	clade	phylum	class	order	family	genus	species
G012026935	0	2	1783270	1134404	795747	795748	1334117	1134403	2052167	G012026935		Bacteria	FCB group	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	Melioribacter sp.
G012032775	0	2	1783272	200795	32061	32064	104174	104175	2547424	G012032775		Bacteria	Terrabacteria group	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris	Oscillochloris sp.
G012516825	0	2	1783270	976	200643	171549	1840213	1840214	2034841	G012516825		Bacteria	FCB group	Bacteroidetes	Bacteroidia	Bacteroidales	Lentimicrobiaceae	Lentimicrobium	Lentimicrobium sp.
G012522935	0	2	1783270	456828	0	0	0	0	2030808	G012522935		Bacteria	FCB group	Candidatus Cloacimonetes					Candidatus Cloacimonetes bacterium
G012523295	0	2	1783270	976	200643	171549	171551	0	2049046	G012523295		Bacteria	FCB group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae		Porphyromonadaceae bacterium
G012719455	0	2	0	57723	0	0	0	0	1978231	G012719455		Bacteria		Acidobacteria					Acidobacteria bacterium
G012798155	0	2	1783257	203682	203683	2691354	2691358	1676125	1962930	G012798155		Bacteria	PVC group	Planctomycetes	Planctomycetia	Pirellulales	Thermoguttaceae	Thermogutta	Thermogutta sp.
G012838125	0	2	1783272	1239	186801	186802	541000	100175	2699752	G012838125		Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	Papillibacter sp.
G012838785	0	2	1783270	976	200643	171549	171551	1784836	1562970	G012838785		Bacteria	FCB group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Fermentimonas	Fermentimonas caenicola
G012842545	0	2	0	2138240	2138243	2138246	2138247	68335	55509	G012842545		Bacteria		Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter sp.
G012961745	0	2	1783257	134625	1921781	0	0	0	2212473	G012961745		Bacteria	PVC group	Kiritimatiellaeota	Kiritimatiellae				Kiritimatiellae bacterium
G013002205	0	2	0	1224	1236	135613	449719	437504	1943584	G013002205		Bacteria		Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus	Granulosicoccus sp.
G900120415	0	2	1783272	1239	1737404	1737405	1737406	1965226	1870994	G900120415		Bacteria	Terrabacteria group	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Urmitella	Urmitella timonensis
G900240255	0	2	1783272	201174	1760	85006	1268	169133	2045010	G900240255		Bacteria	Terrabacteria group	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Citricoccus	Citricoccus massiliensis
G900290095	0	2	1783272	1239	1737404	1737405	1570339	2010182	1871001	G900290095		Bacteria	Terrabacteria group	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Khoudiadiopia	Khoudiadiopia massiliensis
