igenome	isuperkingdom	ikingdom	iclade	iphylum	iclass	iorder	ifamily	igenus	ispecies	genome	superkingdom	kingdom	clade	phylum	class	order	family	genus	species
G000166095	0	2157	0	28890	183925	2158	2178	2179	2180	G000166095		Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus	fervidus
G000186365	0	2157	0	28889	183924	114380	2272	2273	2275	G000186365		Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus	mucosus
G000189555	0	2157	0	28889	183924	2281	118883	2284	43080	G000189555		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	islandicus
G000190155	0	2157	0	28890	183925	2158	2159	2172	2173	G000190155		Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter	smithii
G000195935	0	2157	0	28890	183968	2258	2259	2260	29292	G000195935		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus	abyssi
G000204585	0	2157	0	651137	0	31932	338190	1007082	1007084	G000204585		Archaea		Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Candidatus	Nitrosoarchaeum	Candidatus	Nitrosoarchaeum	limnia
G000215995	0	2157	0	28890	183968	2258	2259	2260	1008460	G000215995		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus	yayanosii
G000220645	0	2157	0	28890	183939	2182	2183	2184	39152	G000220645		Archaea		Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus	maripaludis
G000221185	0	2157	0	28890	183968	2258	2259	2263	1042877	G000221185		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	sp.	4557
G000223395	0	2157	0	28889	183924	114380	2307	54251	54252	G000223395		Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus	fumarii
G000231015	0	2157	0	28889	183924	114380	2272	2273	228748	G000231015		Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus	fermentans
G000242875	0	2157	0	651137	0	31932	338190	338191	1170320	G000242875		Archaea		Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus	Nitrosopumilus	salaria
G000243455	0	2157	0	28890	183939	2182	196117	196119	213185	G000243455		Archaea		Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris	formicicus
G000245135	0	2157	0	28889	183924	2281	118883	2284	43080	G000245135		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	islandicus
G000253055	0	2157	0	28889	183924	2266	2267	2270	2271	G000253055		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus	tenax
G000264495	0	2157	0	28889	183924	114380	2272	477695	1200300	G000264495		Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius	cellulolyticus
G000302455	0	2157	0	28890	183925	2158	2159	2160	2162	G000302455		Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium	formicicum
G000317795	0	2157	0	28889	183924	871006	255472	200414	200415	G000317795		Archaea		Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera	lagunensis
G000363885	0	2157	0	28890	183939	2182	196117	196118	667126	G000363885		Archaea		Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus	villosus
G000375685	0	2157	0	28889	0	0	0	0	1130305	G000375685		Archaea		Crenarchaeota					crenarchaeote	SCGC	AAA261-N23
G000389735	0	2157	0	28889	183924	2281	0	0	1294123	G000389735		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales			Sulfolobales	archaeon	Acd1
G000399765	0	2157	0	651137	0	0	0	0	1131266	G000399765		Archaea		Thaumarchaeota					Marine	Group	I	thaumarchaeote	SCGC	AB-629-I23
G000402095	0	2157	0	28889	0	0	0	0	1052804	G000402095		Archaea		Crenarchaeota					Crenarchaeota	archaeon	SCGC	AAA471-L13
G000437835	0	2157	0	28890	224756	2191	2194	45989	1262903	G000437835		Archaea		Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus	sp.	CAG:1088
G000446015	0	2157	0	28889	183924	2266	114378	2268	1365176	G000446015		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum	adornatus
G000495715	0	2157	0	28889	183924	871006	871007	105850	1410575	G000495715		Archaea		Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured	Acidilobus	sp.	OSP8
G000730285	0	2157	0	651137	1643678	1033996	1033997	497726	1459637	G000730285		Archaea		Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Candidatus	Nitrososphaera	evergladensis
G000746745	0	2157	0	651137	0	0	0	0	1503183	G000746745		Archaea		Thaumarchaeota					Marine	Group	I	thaumarchaeote	SCGC	RSA3
G000816105	0	2157	0	28890	183968	2258	2259	2263	110164	G000816105		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	guaymasensis
G000830275	0	2157	0	0	0	0	0	0	1579370	G000830275		Archaea							archaeon	GW2011_AR10
G000830295	0	2157	0	0	0	0	0	0	1579373	G000830295		Archaea							archaeon	GW2011_AR15
G000875775	0	2157	0	651137	0	31932	338190	338191	1582439	G000875775		Archaea		Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus	Nitrosopumilus	piranensis
G000955905	0	2157	0	651137	0	0	0	1825023	1603555	G000955905		Archaea		Thaumarchaeota				Candidatus	Nitrosotenuis	Candidatus	Nitrosotenuis	cloacae
G000966265	0	2157	0	28890	183968	2258	2259	83867	83868	G000966265		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus	ferrophilus
G001189275	0	2157	0	28889	183924	2266	2267	2276	1227555	G001189275		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum	sp.	WP30
G001315825	0	2157	0	28889	183924	2281	118883	41980	79601	G001315825		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera	hakonensis
G001316025	0	2157	0	28889	183924	2266	2267	164450	164452	G001316025		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta	souniana
