,Taxonomic_Rank,Distance_to_closest,Precision,Recall,F1,Method
0,class,0.0206378,0.9985485439421986,0.8472328601265701,0.9166833662725751,CLARK
1,family,0.0206378,0.9961058498989103,0.846915586731242,0.9154673691904582,CLARK
2,genus,0.0206378,0.9961058498989103,0.846915586731242,0.9154673691904582,CLARK
3,order,0.0206378,0.9983538364459945,0.8472076184625819,0.9165865389918396,CLARK
4,phylum,0.0206378,0.9990264623419725,0.8472947815938127,0.9169209598729195,CLARK
5,species,0.0206378,0.7405788121531854,0.8044259866558178,0.7711781688071273,CLARK
6,superkingdom,0.0206378,0.9999999998229931,0.847420762769073,0.9174046246042661,CLARK
7,class,0.0718104,0.99255228488401,0.5439484305464262,0.7027575560339393,CLARK
8,family,0.0718104,0.9592711680107534,0.5354759529745377,0.6872911132384706,CLARK
9,genus,0.0718104,0.9589138975571181,0.5353832933567508,0.6871230810389363,CLARK
10,order,0.0718104,0.9723252807397352,0.5388364300123611,0.693401390929709,CLARK
11,phylum,0.0718104,0.9959326130222517,0.544791713563825,0.7043081022861576,CLARK
12,species,0.0718104,0.0,0.0,0.0,CLARK
13,superkingdom,0.0718104,0.9999175526974144,0.5457818311913804,0.7061312283407359,CLARK
14,class,0.0,0.9907275250304741,0.020838959399159994,0.04081892172766585,CLARK
15,family,0.0,0.9893009915171114,0.020809578104061456,0.040761344478157734,CLARK
16,genus,0.0,0.9736091228701204,0.02048626744402127,0.040127771303510085,CLARK
17,order,0.0,0.9900142582737927,0.02082426897201562,0.04079013352593177,CLARK
18,phylum,0.0,0.9978601925972882,0.02098583943042934,0.041106757221012945,CLARK
19,species,0.0,0.9636233882765807,0.020280413110922237,0.03972437498089128,CLARK
20,superkingdom,0.0,0.9999999928673324,0.021029894847371278,0.041193091377539105,CLARK
21,class,0.0,0.944047607808957,0.011903332330846091,0.023509982343518945,CLARK
22,family,0.0,0.936904750751134,0.011814333321551875,0.023334174532529343,CLARK
23,genus,0.0,0.9357142745748301,0.011799498594598726,0.023304870189926975,CLARK
