G001914405	1.06378851	genus	FN	35834
G001914405	1.06378851	genus	FP	30833
G001914405	1.06378851	family	FN	35834
G001914405	1.06378851	family	FP	30833
G001914405	1.06378851	order	FN	35834
G001914405	1.06378851	order	FP	30833
G001914405	1.06378851	class	FN	35834
G001914405	1.06378851	class	FP	30833
G001914405	1.06378851	phylum	FN	28416
G001914405	1.06378851	phylum	FP	32695
G001914405	1.06378851	phylum	TP	5556
G001914405	1.06378851	superkingdom	FN	18260
G001914405	1.06378851	superkingdom	FP	41794
G001914405	1.06378851	superkingdom	TP	6613
G001776015	0.196366292	species	FP	53638
G001776015	0.196366292	species	FN	13029
G001776015	0.196366292	genus	FP	53638
G001776015	0.196366292	genus	FN	13029
G001776015	0.196366292	family	FP	53638
G001776015	0.196366292	family	FN	13029
G001776015	0.196366292	order	FP	53638
G001776015	0.196366292	order	FN	13029
G001776015	0.196366292	class	FP	53638
G001776015	0.196366292	class	FN	13029
G001776015	0.196366292	phylum	TP	36766
G001776015	0.196366292	phylum	FP	19597
G001776015	0.196366292	phylum	FN	10304
G001776015	0.196366292	superkingdom	TP	44347
G001776015	0.196366292	superkingdom	FP	14594
G001776015	0.196366292	superkingdom	FN	7726
G001515215	0.490436622	species	FP	28833
G001515215	0.490436622	species	FN	37834
G001515215	0.490436622	genus	FP	28833
G001515215	0.490436622	genus	FN	37834
G001515215	0.490436622	family	FP	28833
G001515215	0.490436622	family	FN	37834
G001515215	0.490436622	order	FP	28833
G001515215	0.490436622	order	FN	37834
G001515215	0.490436622	class	FP	30134
G001515215	0.490436622	class	FN	34987
G001515215	0.490436622	class	TP	1546
G001515215	0.490436622	phylum	FP	27135
G001515215	0.490436622	phylum	FN	33127
G001515215	0.490436622	phylum	TP	6405
G001515215	0.490436622	superkingdom	FP	29851
G001515215	0.490436622	superkingdom	FN	28182
G001515215	0.490436622	superkingdom	TP	8634
G001723845	0.50293281	species	FP	36239
G001723845	0.50293281	species	FN	30428
G001723845	0.50293281	genus	FP	36239
G001723845	0.50293281	genus	FN	30428
G001723845	0.50293281	family	FP	36239
G001723845	0.50293281	family	FN	30428
G001723845	0.50293281	order	TP	11326
G001723845	0.50293281	order	FN	27984
G001723845	0.50293281	order	FP	27357
G001723845	0.50293281	class	TP	11326
G001723845	0.50293281	class	FN	27984
G001723845	0.50293281	class	FP	27357
G001723845	0.50293281	phylum	TP	17167
G001723845	0.50293281	phylum	FN	22066
G001723845	0.50293281	phylum	FP	27434
G001723845	0.50293281	superkingdom	TP	17647
G001723845	0.50293281	superkingdom	FN	13214
G001723845	0.50293281	superkingdom	FP	35806
G001560565	0.010205313	species	TP	66652
G001560565	0.010205313	species	FN	15
G001560565	0.010205313	genus	TP	66663
G001560565	0.010205313	genus	FN	4
G001560565	0.010205313	family	TP	66666
G001560565	0.010205313	family	FN	1
G001560565	0.010205313	order	TP	66666
G001560565	0.010205313	order	FN	1
G001560565	0.010205313	class	TP	66667
G001560565	0.010205313	phylum	TP	66667
G001560565	0.010205313	superkingdom	TP	66667
G000399765	0.065784923	species	FN	16470
G000399765	0.065784923	species	FP	50197
G000399765	0.065784923	genus	FN	16470
G000399765	0.065784923	genus	FP	50197
G000399765	0.065784923	family	FN	16470
G000399765	0.065784923	family	FP	50197
G000399765	0.065784923	order	FN	16470
G000399765	0.065784923	order	FP	50197
G000399765	0.065784923	class	FN	16470
G000399765	0.065784923	class	FP	50197
G000399765	0.065784923	phylum	FP	16756
G000399765	0.065784923	phylum	TP	45744
G000399765	0.065784923	phylum	FN	4167
G000399765	0.065784923	superkingdom	FP	18140
G000399765	0.065784923	superkingdom	TP	45962
G000399765	0.065784923	superkingdom	FN	2565
G000242875	0.185317881	species	FN	32321
G000242875	0.185317881	species	FP	34346
G000242875	0.185317881	genus	FN	17265
G000242875	0.185317881	genus	FP	17782
G000242875	0.185317881	genus	TP	31620
G000242875	0.185317881	family	FN	14245
G000242875	0.185317881	family	FP	14601
G000242875	0.185317881	family	TP	37821
G000242875	0.185317881	order	FN	14025
G000242875	0.185317881	order	FP	14821
G000242875	0.185317881	order	TP	37821
G000242875	0.185317881	class	FN	14025
G000242875	0.185317881	class	FP	14821
G000242875	0.185317881	class	TP	37821
G000242875	0.185317881	phylum	FN	7560
G000242875	0.185317881	phylum	TP	47393
G000242875	0.185317881	phylum	FP	11714
G000242875	0.185317881	superkingdom	FP	14736
G000242875	0.185317881	superkingdom	TP	47835
G000242875	0.185317881	superkingdom	FN	4096
G900109425	0.010483746	species	TP	64567
G900109425	0.010483746	species	FN	1878
G900109425	0.010483746	species	FP	222
G900109425	0.010483746	genus	TP	66483
G900109425	0.010483746	genus	FP	39
G900109425	0.010483746	genus	FN	145
G900109425	0.010483746	family	TP	66579
G900109425	0.010483746	family	FP	26
G900109425	0.010483746	family	FN	62
G900109425	0.010483746	order	TP	66579
G900109425	0.010483746	order	FP	29
G900109425	0.010483746	order	FN	59
G900109425	0.010483746	class	TP	66579
G900109425	0.010483746	class	FP	29
G900109425	0.010483746	class	FN	59
G900109425	0.010483746	phylum	TP	66593
G900109425	0.010483746	phylum	FP	29
G900109425	0.010483746	phylum	FN	45
G900109425	0.010483746	superkingdom	TP	66596
G900109425	0.010483746	superkingdom	FP	40
G900109425	0.010483746	superkingdom	FN	31
G001399795	0.53153119	species	FP	30711
G001399795	0.53153119	species	FN	35956
G001399795	0.53153119	genus	FP	30711
G001399795	0.53153119	genus	FN	35956
G001399795	0.53153119	family	FP	30711
G001399795	0.53153119	family	FN	35956
G001399795	0.53153119	order	FP	30711
G001399795	0.53153119	order	FN	35956
G001399795	0.53153119	class	FP	30711
G001399795	0.53153119	class	FN	35956
G001399795	0.53153119	phylum	TP	6531
G001399795	0.53153119	phylum	FP	27659
G001399795	0.53153119	phylum	FN	32477
G001399795	0.53153119	superkingdom	TP	11424
G001399795	0.53153119	superkingdom	FP	27319
G001399795	0.53153119	superkingdom	FN	27924
G001577775	0.086704214	species	FP	51918
G001577775	0.086704214	species	FN	14749
G001577775	0.086704214	genus	FP	49584
G001577775	0.086704214	genus	FN	11363
G001577775	0.086704214	genus	TP	5720
G001577775	0.086704214	family	TP	50377
G001577775	0.086704214	family	FN	9701
G001577775	0.086704214	family	FP	6589
G001577775	0.086704214	order	TP	50377
G001577775	0.086704214	order	FN	9568
G001577775	0.086704214	order	FP	6722
G001577775	0.086704214	class	TP	50377
G001577775	0.086704214	class	FN	9443
G001577775	0.086704214	class	FP	6847
G001577775	0.086704214	phylum	TP	51046
G001577775	0.086704214	phylum	FN	8956
G001577775	0.086704214	phylum	FP	6665
G001577775	0.086704214	superkingdom	TP	51323
G001577775	0.086704214	superkingdom	FN	7642
G001577775	0.086704214	superkingdom	FP	7702
G001507935	0.118421872	species	FP	55440
G001507935	0.118421872	species	FN	11227
G001507935	0.118421872	genus	FP	55440
G001507935	0.118421872	genus	FN	11227
G001507935	0.118421872	family	FP	55440
G001507935	0.118421872	family	FN	11227
G001507935	0.118421872	order	TP	62223
G001507935	0.118421872	order	FN	2434
G001507935	0.118421872	order	FP	2010
G001507935	0.118421872	class	TP	62223
G001507935	0.118421872	class	FN	2404
G001507935	0.118421872	class	FP	2040
G001507935	0.118421872	phylum	TP	62467
G001507935	0.118421872	phylum	FN	2290
G001507935	0.118421872	phylum	FP	1910
G001507935	0.118421872	superkingdom	TP	62495
G001507935	0.118421872	superkingdom	FN	1927
G001507935	0.118421872	superkingdom	FP	2245
G001508175	0.100033733	species	FP	65853
G001508175	0.100033733	species	FN	814
G001508175	0.100033733	genus	TP	66114
G001508175	0.100033733	genus	FP	235
G001508175	0.100033733	genus	FN	318
G001508175	0.100033733	family	TP	66267
G001508175	0.100033733	family	FP	201
G001508175	0.100033733	family	FN	199
G001508175	0.100033733	order	TP	66267
G001508175	0.100033733	order	FP	203
G001508175	0.100033733	order	FN	197
G001508175	0.100033733	class	TP	66267
G001508175	0.100033733	class	FP	203
G001508175	0.100033733	class	FN	197
G001508175	0.100033733	phylum	TP	66287
G001508175	0.100033733	phylum	FP	202
G001508175	0.100033733	phylum	FN	178
G001508175	0.100033733	superkingdom	TP	66291
G001508175	0.100033733	superkingdom	FP	228
G001508175	0.100033733	superkingdom	FN	148
G001563335	0.237239616	species	FN	29969
G001563335	0.237239616	species	FP	36698
G001563335	0.237239616	genus	FN	29969
G001563335	0.237239616	genus	FP	36698
G001563335	0.237239616	family	FN	29969
G001563335	0.237239616	family	FP	36698
G001563335	0.237239616	order	FN	29969
G001563335	0.237239616	order	FP	36698
G001563335	0.237239616	class	FN	29969
G001563335	0.237239616	class	FP	36698
G001563335	0.237239616	phylum	FN	27623
G001563335	0.237239616	phylum	TP	19562
G001563335	0.237239616	phylum	FP	19482
G001563335	0.237239616	superkingdom	FN	24455
G001563335	0.237239616	superkingdom	TP	21532
G001563335	0.237239616	superkingdom	FP	20680
G001940655	1.023133348	species	FN	41093
G001940655	1.023133348	species	FP	25574
G001940655	1.023133348	genus	FN	41093
G001940655	1.023133348	genus	FP	25574
G001940655	1.023133348	family	FN	41093
G001940655	1.023133348	family	FP	25574
G001940655	1.023133348	order	FN	41093
G001940655	1.023133348	order	FP	25574
G001940655	1.023133348	class	FN	41093
G001940655	1.023133348	class	FP	25574
G001940655	1.023133348	phylum	FN	37543
G001940655	1.023133348	phylum	FP	29124
G001940655	1.023133348	superkingdom	FN	33139
G001940655	1.023133348	superkingdom	FP	31772
G001940655	1.023133348	superkingdom	TP	1756
G001920575	0.109901422	species	FN	47537
G001920575	0.109901422	species	FP	19130
G001920575	0.109901422	genus	FN	47537
G001920575	0.109901422	genus	FP	19130
G001920575	0.109901422	family	FN	47537
G001920575	0.109901422	family	FP	19130
G001920575	0.109901422	order	FN	47537
G001920575	0.109901422	order	FP	19130
G001920575	0.109901422	class	FN	47537
G001920575	0.109901422	class	FP	19130
G001920575	0.109901422	phylum	FN	47412
G001920575	0.109901422	phylum	FP	19145
G001920575	0.109901422	phylum	TP	110
G001920575	0.109901422	superkingdom	TP	64010
G001920575	0.109901422	superkingdom	FP	975
G001920575	0.109901422	superkingdom	FN	1682
G000019605	1.080248207	species	FP	24418
G000019605	1.080248207	species	FN	42249
G000019605	1.080248207	genus	FP	25749
G000019605	1.080248207	genus	FN	40918
G000019605	1.080248207	family	FP	25749
G000019605	1.080248207	family	FN	40918
G000019605	1.080248207	order	FP	25749
G000019605	1.080248207	order	FN	40918
G000019605	1.080248207	class	FP	25749
G000019605	1.080248207	class	FN	40918
G000019605	1.080248207	phylum	FP	27943
G000019605	1.080248207	phylum	FN	38724
G000019605	1.080248207	superkingdom	FP	22772
G000019605	1.080248207	superkingdom	FN	35587
G000019605	1.080248207	superkingdom	TP	8308
G000166095	0.488043988	species	FN	30931
G000166095	0.488043988	species	FP	35736
G000166095	0.488043988	genus	FN	26979
G000166095	0.488043988	genus	FP	39688
G000166095	0.488043988	family	FN	25269
G000166095	0.488043988	family	FP	41398
G000166095	0.488043988	order	FN	24134
G000166095	0.488043988	order	FP	30704
G000166095	0.488043988	order	TP	11829
G000166095	0.488043988	class	FN	23261
G000166095	0.488043988	class	FP	31577
G000166095	0.488043988	class	TP	11829
G000166095	0.488043988	phylum	FN	18692
G000166095	0.488043988	phylum	TP	17958
