Bin	Rank	Count	Hamming_distance	Match
(0.0, 0.05)	Kingdom	810	5	True
(0.0, 0.05)	Genus	753	3	False
(0.0, 0.05)	Kingdom	625	3	True
(0.0, 0.05)	Class	603	0	True
(0.0, 0.05)	Genus	600	2	False
(0.0, 0.05)	Kingdom	576	4	True
(0.0, 0.05)	Order	552	0	True
(0.0, 0.05)	Kingdom	549	2	True
(0.0, 0.05)	Genus	531	1	False
(0.0, 0.05)	Family	350	5	False
(0.0, 0.05)	Genus	343	0	False
(0.0, 0.05)	Family	306	3	False
(0.0, 0.05)	Order	285	5	False
(0.0, 0.05)	Class	283	5	False
(0.0, 0.05)	Family	275	4	False
(0.0, 0.05)	Phylum	270	5	False
(0.0, 0.05)	Family	268	2	False
(0.0, 0.05)	Species	267	5	True
(0.0, 0.05)	Phylum	239	3	False
(0.0, 0.05)	Class	220	2	False
(0.0, 0.05)	Class	219	1	False
(0.0, 0.05)	Phylum	214	4	False
(0.0, 0.05)	Class	208	3	False
(0.0, 0.05)	Phylum	208	2	False
(0.0, 0.05)	Class	205	1	True
(0.0, 0.05)	Phylum	193	1	False
(0.0, 0.05)	Order	191	4	False
(0.0, 0.05)	Class	183	4	False
(0.0, 0.05)	Genus	174	0	True
(0.0, 0.05)	Family	172	1	False
(0.0, 0.05)	Order	168	3	False
(0.0, 0.05)	Order	159	2	False
(0.0, 0.05)	Class	139	3	True
(0.0, 0.05)	Class	134	4	True
(0.0, 0.05)	Class	129	2	True
(0.0, 0.05)	Class	125	5	True
(0.0, 0.05)	Phylum	125	5	True
(0.0, 0.05)	Family	115	0	False
(0.0, 0.05)	Phylum	110	4	True
(0.0, 0.05)	Phylum	102	3	True
(0.0, 0.05)	Order	99	1	False
(0.0, 0.05)	Phylum	75	2	True
(0.0, 0.05)	Phylum	71	1	True
(0.0, 0.05)	Order	63	1	True
(0.0, 0.05)	Phylum	46	0	False
(0.0, 0.05)	Phylum	39	0	True
(0.0, 0.05)	Class	29	0	False
(0.0, 0.05)	Family	18	0	True
(0.0, 0.05)	Genus	9	1	True
(0.0, 0.05)	Order	3	2	True
(0.0, 0.05)	Kingdom	2	5	False
(0.05, 0.15)	Species	214101	0	False
(0.05, 0.15)	Species	85679	1	False
(0.05, 0.15)	Species	85374	5	False
(0.05, 0.15)	Species	72819	2	False
(0.05, 0.15)	Species	67500	3	False
(0.05, 0.15)	Species	65679	4	False
(0.05, 0.15)	Genus	42652	0	True
(0.05, 0.15)	Genus	10743	1	True
(0.05, 0.15)	Genus	6330	2	True
(0.05, 0.15)	Genus	4157	3	True
(0.05, 0.15)	Genus	3286	5	False
(0.05, 0.15)	Genus	2179	4	True
(0.05, 0.15)	Genus	2113	4	False
(0.05, 0.15)	Kingdom	1669	5	True
(0.05, 0.15)	Genus	1662	3	False
(0.05, 0.15)	Genus	1097	2	False
(0.05, 0.15)	Genus	1055	5	True
(0.05, 0.15)	Kingdom	956	4	True
(0.05, 0.15)	Kingdom	875	3	True
(0.05, 0.15)	Kingdom	686	2	True
(0.05, 0.15)	Genus	604	1	False
(0.05, 0.15)	Kingdom	587	1	True
(0.05, 0.15)	Kingdom	554	0	True
(0.05, 0.15)	Family	516	5	False
(0.05, 0.15)	Order	487	5	False
(0.05, 0.15)	Phylum	450	5	False
(0.05, 0.15)	Family	406	4	False
(0.05, 0.15)	Order	405	4	False
(0.05, 0.15)	Family	387	3	False
(0.05, 0.15)	Class	372	5	False
(0.05, 0.15)	Family	319	2	False
(0.05, 0.15)	Order	311	3	False
(0.05, 0.15)	Order	296	2	False
(0.05, 0.15)	Phylum	276	4	False
(0.05, 0.15)	Class	257	4	False
(0.05, 0.15)	Class	240	3	False
(0.05, 0.15)	Phylum	238	1	True
(0.05, 0.15)	Phylum	227	3	False
(0.05, 0.15)	Phylum	220	0	True
(0.05, 0.15)	Class	209	0	True
(0.05, 0.15)	Family	194	1	False
(0.05, 0.15)	Order	191	1	False
(0.05, 0.15)	Phylum	176	2	True
(0.05, 0.15)	Phylum	172	2	False
(0.05, 0.15)	Class	167	2	False
(0.05, 0.15)	Genus	152	0	False
(0.05, 0.15)	Order	149	0	True
(0.05, 0.15)	Class	147	1	True
(0.05, 0.15)	Phylum	130	4	True
(0.05, 0.15)	Family	121	0	True
(0.05, 0.15)	Phylum	118	3	True
(0.05, 0.15)	Class	107	1	False
(0.05, 0.15)	Phylum	75	1	False
(0.05, 0.15)	Phylum	74	5	True
(0.05, 0.15)	Class	60	2	True
(0.05, 0.15)	Class	34	3	True
(0.05, 0.15)	Family	34	0	False
(0.05, 0.15)	Family	33	1	True
(0.05, 0.15)	Order	26	0	False
(0.05, 0.15)	Phylum	25	0	False
(0.05, 0.15)	Order	23	1	True
(0.05, 0.15)	Order	22	2	True
(0.05, 0.15)	Class	15	4	True
(0.05, 0.15)	Class	15	0	False
(0.05, 0.15)	Kingdom	13	1	False
(0.05, 0.15)	Order	12	3	True
(0.05, 0.15)	Class	10	5	True
(0.05, 0.15)	Family	5	2	True
(0.05, 0.15)	Order	4	4	True
