Bin	Rank	Count	Hamming_distance	Match
(0.15, 0.35)	Species	835	0	False
(0.15, 0.35)	Genus	819	2	False
(0.15, 0.35)	Kingdom	818	5	True
(0.15, 0.35)	Kingdom	744	3	True
(0.15, 0.35)	Phylum	728	0	False
(0.15, 0.35)	Kingdom	687	4	True
(0.15, 0.35)	Genus	495	1	False
(0.15, 0.35)	Class	443	4	False
(0.15, 0.35)	Class	442	5	False
(0.15, 0.35)	Phylum	428	4	False
(0.15, 0.35)	Phylum	414	3	False
(0.15, 0.35)	Class	403	2	False
(0.15, 0.35)	Phylum	400	2	False
(0.15, 0.35)	Family	399	5	False
(0.15, 0.35)	Phylum	397	5	False
(0.15, 0.35)	Class	395	3	False
(0.15, 0.35)	Family	391	1	False
(0.15, 0.35)	Family	390	4	False
(0.15, 0.35)	Family	383	2	False
(0.15, 0.35)	Phylum	381	1	False
(0.15, 0.35)	Family	364	3	False
(0.15, 0.35)	Class	363	0	False
(0.15, 0.35)	Order	323	5	False
(0.15, 0.35)	Class	307	1	False
(0.15, 0.35)	Order	274	4	False
(0.15, 0.35)	Order	251	3	False
(0.15, 0.35)	Genus	239	0	False
(0.15, 0.35)	Order	203	2	False
(0.15, 0.35)	Order	166	1	False
(0.15, 0.35)	Family	145	0	False
(0.15, 0.35)	Order	51	0	False
(0.15, 0.35)	Kingdom	1	2	False
(0.0, 0.05)	Species	1041132	0	True
(0.0, 0.05)	Species	78219	5	False
(0.0, 0.05)	Species	63500	4	False
(0.0, 0.05)	Species	60473	3	False
(0.0, 0.05)	Species	57398	1	True
(0.0, 0.05)	Species	46469	2	False
(0.0, 0.05)	Species	23965	1	False
(0.0, 0.05)	Genus	13272	0	True
(0.0, 0.05)	Family	7771	0	True
(0.0, 0.05)	Phylum	4802	0	True
(0.0, 0.05)	Species	4662	2	True
(0.0, 0.05)	Family	4015	1	True
(0.0, 0.05)	Genus	3687	1	True
(0.0, 0.05)	Genus	2888	5	False
(0.0, 0.05)	Family	2746	2	True
(0.0, 0.05)	Genus	2569	4	False
(0.0, 0.05)	Genus	2342	3	False
(0.0, 0.05)	Genus	2171	2	False
(0.0, 0.05)	Genus	2083	2	True
(0.0, 0.05)	Species	1750	3	True
(0.0, 0.05)	Phylum	1743	1	True
(0.0, 0.05)	Genus	1687	1	False
(0.0, 0.05)	Kingdom	1656	0	True
(0.0, 0.05)	Kingdom	1591	1	True
(0.0, 0.05)	Family	1309	3	True
(0.0, 0.05)	Kingdom	1239	5	True
(0.0, 0.05)	Genus	1221	3	True
(0.0, 0.05)	Species	1076	0	False
(0.0, 0.05)	Phylum	880	2	True
(0.0, 0.05)	Kingdom	855	2	True
(0.0, 0.05)	Species	815	4	True
(0.0, 0.05)	Species	693	5	True
(0.0, 0.05)	Genus	626	4	True
(0.0, 0.05)	Family	622	4	True
(0.0, 0.05)	Kingdom	595	3	True
(0.0, 0.05)	Kingdom	537	4	True
(0.0, 0.05)	Phylum	504	3	True
(0.0, 0.05)	Phylum	483	5	True
(0.0, 0.05)	Family	455	2	False
(0.0, 0.05)	Family	453	5	False
(0.0, 0.05)	Family	418	4	False
(0.0, 0.05)	Family	390	3	False
(0.0, 0.05)	Family	370	1	False
(0.0, 0.05)	Phylum	369	4	True
(0.0, 0.05)	Class	322	5	False
(0.0, 0.05)	Genus	315	5	True
(0.0, 0.05)	Order	312	0	True
(0.0, 0.05)	Family	286	5	True
(0.0, 0.05)	Order	283	2	False
(0.0, 0.05)	Order	277	5	False
(0.0, 0.05)	Order	276	1	False
(0.0, 0.05)	Class	263	2	False
(0.0, 0.05)	Class	224	4	False
(0.0, 0.05)	Order	193	4	False
(0.0, 0.05)	Class	183	3	False
(0.0, 0.05)	Phylum	178	5	False
(0.0, 0.05)	Order	174	3	False
(0.0, 0.05)	Class	173	1	False
(0.0, 0.05)	Order	151	1	True
(0.0, 0.05)	Phylum	127	2	False
(0.0, 0.05)	Phylum	119	4	False
(0.0, 0.05)	Phylum	119	3	False
(0.0, 0.05)	Phylum	115	1	False
(0.0, 0.05)	Order	76	2	True
(0.0, 0.05)	Genus	50	0	False
(0.0, 0.05)	Order	47	3	True
(0.0, 0.05)	Class	35	0	True
(0.0, 0.05)	Order	22	0	False
(0.0, 0.05)	Order	17	4	True
(0.0, 0.05)	Phylum	10	0	False
(0.0, 0.05)	Class	9	1	True
(0.0, 0.05)	Class	6	5	True
(0.0, 0.05)	Class	6	3	True
(0.0, 0.05)	Class	4	4	True
(0.0, 0.05)	Class	3	2	True
(0.0, 0.05)	Class	2	0	False
(0.0, 0.05)	Order	1	5	True
(0.0, 0.05)	Family	1	0	False
(0.0, 0.05)	Species	406792	0	False
(0.0, 0.05)	Species	263207	1	False
(0.0, 0.05)	Species	120790	2	False
(0.0, 0.05)	Species	70973	3	False
(0.0, 0.05)	Genus	68904	0	False
(0.0, 0.05)	Species	63561	5	False
(0.0, 0.05)	Species	56783	4	False
(0.0, 0.05)	Genus	16643	1	False
(0.0, 0.05)	Genus	4899	2	False
(0.0, 0.05)	Genus	3301	3	False
(0.0, 0.05)	Genus	3259	5	False
(0.0, 0.05)	Genus	2994	4	False
(0.0, 0.05)	Order	2896	0	False
(0.0, 0.05)	Order	1722	1	False
(0.0, 0.05)	Family	1069	0	False
(0.0, 0.05)	Family	1057	1	False
(0.0, 0.05)	Order	911	2	False
(0.0, 0.05)	Kingdom	688	5	True
(0.0, 0.05)	Family	686	2	False
(0.0, 0.05)	Kingdom	667	0	True
(0.0, 0.05)	Kingdom	602	1	True
(0.0, 0.05)	Order	572	3	False
(0.0, 0.05)	Class	519	0	False
(0.0, 0.05)	Family	502	3	False
(0.0, 0.05)	Phylum	482	1	False
(0.0, 0.05)	Phylum	480	0	False
(0.0, 0.05)	Class	472	1	False
(0.0, 0.05)	Family	412	4	False
(0.0, 0.05)	Order	407	5	False
(0.0, 0.05)	Family	404	5	False
(0.0, 0.05)	Order	379	4	False
(0.0, 0.05)	Kingdom	335	4	True
(0.0, 0.05)	Kingdom	328	2	True
(0.0, 0.05)	Kingdom	288	3	True
(0.0, 0.05)	Phylum	260	5	False
(0.0, 0.05)	Class	256	2	False
(0.0, 0.05)	Phylum	225	2	False
(0.0, 0.05)	Class	168	3	False
(0.0, 0.05)	Phylum	165	3	False
(0.0, 0.05)	Class	162	5	False
(0.0, 0.05)	Phylum	155	4	False
(0.0, 0.05)	Class	129	4	False
(0.0, 0.05)	Class	48	3	True
(0.0, 0.05)	Class	47	2	True
(0.0, 0.05)	Class	42	5	True
(0.0, 0.05)	Phylum	36	3	True
(0.0, 0.05)	Phylum	33	2	True
(0.0, 0.05)	Class	25	4	True
(0.0, 0.05)	Phylum	23	5	True
(0.0, 0.05)	Phylum	23	4	True
(0.0, 0.05)	Class	22	1	True
(0.0, 0.05)	Phylum	21	1	True
(0.0, 0.05)	Genus	11	5	True
(0.0, 0.05)	Species	7	5	True
(0.0, 0.05)	Genus	5	4	True
(0.0, 0.05)	Family	5	4	True
(0.0, 0.05)	Family	4	5	True
(0.0, 0.05)	Species	4	4	True
(0.0, 0.05)	Genus	3	1	True
(0.0, 0.05)	Kingdom	2	5	False
(0.0, 0.05)	Genus	2	3	True
(0.0, 0.05)	Genus	2	2	True
(0.0, 0.05)	Species	2	1	True
(0.0, 0.05)	Phylum	2	0	True
(0.0, 0.05)	Species	1	3	True
(0.0, 0.05)	Species	1	2	True
(0.0, 0.05)	Kingdom	1	1	False
(0.05, 0.15)	Species	116707	5	False
(0.05, 0.15)	Species	83290	3	False
(0.05, 0.15)	Species	82956	2	False
(0.05, 0.15)	Species	81236	4	False
(0.05, 0.15)	Species	60416	1	False
(0.05, 0.15)	Species	20377	0	False
(0.05, 0.15)	Phylum	5647	1	True
(0.05, 0.15)	Phylum	3658	2	True
(0.05, 0.15)	Genus	3631	2	False
(0.05, 0.15)	Order	3557	1	True
(0.05, 0.15)	Phylum	3466	0	True
(0.05, 0.15)	Genus	3418	0	True
(0.05, 0.15)	Genus	3256	1	False
(0.05, 0.15)	Genus	3217	3	False
(0.05, 0.15)	Order	3122	0	True
(0.05, 0.15)	Genus	3103	5	False
(0.05, 0.15)	Family	3048	1	False
(0.05, 0.15)	Family	2998	2	False
(0.05, 0.15)	Family	2856	0	True
(0.05, 0.15)	Family	2696	1	True
(0.05, 0.15)	Genus	2566	4	False
(0.05, 0.15)	Order	2049	2	True
(0.05, 0.15)	Genus	2016	1	True
(0.05, 0.15)	Family	1974	3	False
(0.05, 0.15)	Kingdom	1912	1	True
(0.05, 0.15)	Class	1883	1	True
(0.05, 0.15)	Class	1700	0	True
(0.05, 0.15)	Phylum	1568	3	True
(0.05, 0.15)	Kingdom	1529	2	True
(0.05, 0.15)	Family	1506	2	True
(0.05, 0.15)	Class	1379	2	False
(0.05, 0.15)	Class	1318	1	False
(0.05, 0.15)	Family	1313	4	False
(0.05, 0.15)	Family	1201	5	False
(0.05, 0.15)	Class	1044	2	True
(0.05, 0.15)	Class	1017	3	False
(0.05, 0.15)	Kingdom	946	0	True
(0.05, 0.15)	Family	912	0	False
(0.05, 0.15)	Genus	885	0	False
(0.05, 0.15)	Genus	803	2	True
(0.05, 0.15)	Kingdom	797	3	True
(0.05, 0.15)	Order	778	3	True
(0.05, 0.15)	Class	743	5	False
(0.05, 0.15)	Class	717	4	False
(0.05, 0.15)	Phylum	677	4	True
(0.05, 0.15)	Family	597	3	True
(0.05, 0.15)	Kingdom	583	5	True
(0.05, 0.15)	Order	523	2	False
(0.05, 0.15)	Kingdom	520	4	True
(0.05, 0.15)	Order	482	1	False
(0.05, 0.15)	Class	470	3	True
(0.05, 0.15)	Order	466	3	False
(0.05, 0.15)	Order	433	5	False
(0.05, 0.15)	Order	371	4	False
(0.05, 0.15)	Phylum	330	5	True
(0.05, 0.15)	Class	303	0	False
(0.05, 0.15)	Order	302	4	True
(0.05, 0.15)	Genus	276	3	True
(0.05, 0.15)	Family	271	4	True
(0.05, 0.15)	Order	173	5	True
(0.05, 0.15)	Phylum	148	5	False
(0.05, 0.15)	Family	147	5	True
(0.05, 0.15)	Class	143	4	True
(0.05, 0.15)	Phylum	103	4	False
(0.05, 0.15)	Phylum	91	3	False
(0.05, 0.15)	Order	88	0	False
(0.05, 0.15)	Phylum	86	1	False
(0.05, 0.15)	Phylum	79	2	False
(0.05, 0.15)	Genus	76	4	True
(0.05, 0.15)	Class	74	5	True
(0.05, 0.15)	Genus	15	5	True
(0.05, 0.15)	Phylum	10	0	False
(0.05, 0.15)	Kingdom	2	3	False
(0.05, 0.15)	Kingdom	1	5	False
(0.05, 0.15)	Kingdom	1	4	False
(0.0, 0.05)	Species	1077387	0	True
(0.0, 0.05)	Species	102874	1	True
(0.0, 0.05)	Species	63534	5	False
(0.0, 0.05)	Species	50543	4	False
(0.0, 0.05)	Species	43573	3	False
(0.0, 0.05)	Species	28887	2	False
(0.0, 0.05)	Family	23104	0	True
(0.0, 0.05)	Species	12348	1	False
(0.0, 0.05)	Species	9489	2	True
(0.0, 0.05)	Genus	2519	5	False
(0.0, 0.05)	Family	2302	1	True
(0.0, 0.05)	Species	2113	0	False
(0.0, 0.05)	Genus	2102	4	False
(0.0, 0.05)	Genus	1872	3	False
(0.0, 0.05)	Genus	1515	2	False
(0.0, 0.05)	Family	1430	2	True
(0.0, 0.05)	Species	1428	3	True
(0.0, 0.05)	Family	971	3	True
(0.0, 0.05)	Genus	750	1	False
(0.0, 0.05)	Kingdom	719	5	True
(0.0, 0.05)	Phylum	577	0	True
(0.0, 0.05)	Family	439	4	True
(0.0, 0.05)	Species	376	4	True
(0.0, 0.05)	Family	336	5	False
(0.0, 0.05)	Phylum	299	2	True
(0.0, 0.05)	Kingdom	292	4	True
(0.0, 0.05)	Phylum	284	1	True
(0.0, 0.05)	Phylum	273	5	True
(0.0, 0.05)	Phylum	257	3	True
(0.0, 0.05)	Phylum	250	4	True
(0.0, 0.05)	Kingdom	224	0	True
(0.0, 0.05)	Family	212	5	True
(0.0, 0.05)	Family	212	4	False
(0.0, 0.05)	Kingdom	211	3	True
(0.0, 0.05)	Order	196	5	False
(0.0, 0.05)	Class	181	5	False
(0.0, 0.05)	Kingdom	168	1	True
(0.0, 0.05)	Kingdom	163	2	True
(0.0, 0.05)	Species	158	5	True
(0.0, 0.05)	Family	154	3	False
(0.0, 0.05)	Phylum	125	5	False
(0.0, 0.05)	Genus	122	0	True
(0.0, 0.05)	Genus	119	0	False
(0.0, 0.05)	Family	109	2	False
(0.0, 0.05)	Class	100	3	False
(0.0, 0.05)	Order	97	4	False
(0.0, 0.05)	Class	97	4	False
(0.0, 0.05)	Order	84	3	False
(0.0, 0.05)	Class	73	2	False
(0.0, 0.05)	Order	70	0	True
(0.0, 0.05)	Phylum	56	4	False
(0.0, 0.05)	Family	54	1	False
(0.0, 0.05)	Order	43	2	False
(0.0, 0.05)	Phylum	37	3	False
(0.0, 0.05)	Phylum	31	2	False
(0.0, 0.05)	Order	26	1	False
(0.0, 0.05)	Order	20	1	True
(0.0, 0.05)	Class	20	1	False
(0.0, 0.05)	Order	18	2	True
(0.0, 0.05)	Order	17	3	True
(0.0, 0.05)	Order	13	4	True
(0.0, 0.05)	Genus	9	1	True
(0.0, 0.05)	Phylum	8	1	False
(0.0, 0.05)	Class	4	2	True
(0.0, 0.05)	Order	3	5	True
(0.0, 0.05)	Order	3	0	False
(0.0, 0.05)	Class	3	0	True
(0.0, 0.05)	Class	1	5	True
(0.0, 0.05)	Class	1	3	True
(0.0, 0.05)	Class	1	0	False
(0.15, 0.35)	Species	57874	5	False
(0.15, 0.35)	Species	41107	4	False
(0.15, 0.35)	Species	33205	3	False
(0.15, 0.35)	Species	24375	2	False
(0.15, 0.35)	Species	15472	1	False
(0.15, 0.35)	Species	8047	0	False
(0.15, 0.35)	Genus	2284	5	False
(0.15, 0.35)	Genus	1802	4	False
(0.15, 0.35)	Genus	1350	3	False
(0.15, 0.35)	Genus	994	2	False
(0.15, 0.35)	Kingdom	786	5	True
(0.15, 0.35)	Kingdom	585	3	True
(0.15, 0.35)	Kingdom	543	4	True
(0.15, 0.35)	Kingdom	528	2	True
(0.15, 0.35)	Family	480	5	False
(0.15, 0.35)	Family	413	4	False
(0.15, 0.35)	Genus	397	1	False
(0.15, 0.35)	Kingdom	378	1	True
(0.15, 0.35)	Family	358	3	False
(0.15, 0.35)	Phylum	347	5	False
(0.15, 0.35)	Class	337	5	False
(0.15, 0.35)	Phylum	311	4	False
(0.15, 0.35)	Class	307	4	False
(0.15, 0.35)	Order	303	5	False
(0.15, 0.35)	Order	291	0	True
(0.15, 0.35)	Phylum	290	0	True
(0.15, 0.35)	Family	281	2	False
(0.15, 0.35)	Class	280	3	False
(0.15, 0.35)	Kingdom	264	0	True
(0.15, 0.35)	Order	259	4	False
(0.15, 0.35)	Order	252	1	True
(0.15, 0.35)	Phylum	228	3	False
(0.15, 0.35)	Class	228	2	False
(0.15, 0.35)	Phylum	226	1	True
(0.15, 0.35)	Family	224	1	False
(0.15, 0.35)	Order	216	3	False
(0.15, 0.35)	Order	215	5	True
(0.15, 0.35)	Order	214	4	True
(0.15, 0.35)	Order	208	2	True
(0.15, 0.35)	Order	177	3	True
(0.15, 0.35)	Class	156	1	False
(0.15, 0.35)	Phylum	151	2	False
(0.15, 0.35)	Order	135	2	False
(0.15, 0.35)	Phylum	126	2	True
(0.15, 0.35)	Phylum	117	3	True
(0.15, 0.35)	Genus	88	0	False
(0.15, 0.35)	Order	83	1	False
(0.15, 0.35)	Phylum	70	4	True
(0.15, 0.35)	Phylum	67	1	False
(0.15, 0.35)	Phylum	54	5	True
(0.15, 0.35)	Family	48	0	False
(0.15, 0.35)	Class	30	0	False
(0.15, 0.35)	Class	27	0	True
(0.15, 0.35)	Class	24	1	True
(0.15, 0.35)	Class	16	2	True
(0.15, 0.35)	Family	16	0	True
(0.15, 0.35)	Order	16	0	False
(0.15, 0.35)	Phylum	12	0	False
(0.15, 0.35)	Genus	11	1	True
(0.15, 0.35)	Class	10	3	True
(0.15, 0.35)	Genus	8	2	True
(0.15, 0.35)	Genus	8	0	True
(0.15, 0.35)	Family	5	1	True
(0.15, 0.35)	Kingdom	4	4	False
(0.15, 0.35)	Class	2	5	True
(0.15, 0.35)	Genus	2	4	True
(0.15, 0.35)	Class	1	4	True
(0.15, 0.35)	Species	69213	5	False
(0.15, 0.35)	Species	40444	4	False
(0.15, 0.35)	Species	31092	3	False
(0.15, 0.35)	Species	22545	2	False
(0.15, 0.35)	Species	12166	1	False
(0.15, 0.35)	Species	3991	0	False
(0.15, 0.35)	Genus	2753	5	False
(0.15, 0.35)	Class	2596	3	True
(0.15, 0.35)	Class	2437	2	True
(0.15, 0.35)	Class	2316	4	True
(0.15, 0.35)	Kingdom	1778	5	True
(0.15, 0.35)	Genus	1700	4	False
(0.15, 0.35)	Class	1595	5	True
(0.15, 0.35)	Class	1524	1	True
(0.15, 0.35)	Genus	1209	3	False
(0.15, 0.35)	Kingdom	1201	4	True
(0.15, 0.35)	Genus	1078	3	True
(0.15, 0.35)	Genus	958	4	True
(0.15, 0.35)	Genus	891	2	True
(0.15, 0.35)	Genus	883	2	False
(0.15, 0.35)	Kingdom	769	3	True
(0.15, 0.35)	Phylum	743	5	False
(0.15, 0.35)	Kingdom	708	2	True
(0.15, 0.35)	Class	624	0	True
(0.15, 0.35)	Kingdom	580	1	True
(0.15, 0.35)	Genus	566	5	True
(0.15, 0.35)	Genus	560	1	True
(0.15, 0.35)	Family	509	5	False
(0.15, 0.35)	Phylum	483	4	False
(0.15, 0.35)	Kingdom	460	0	True
(0.15, 0.35)	Genus	447	1	False
(0.15, 0.35)	Phylum	404	3	False
(0.15, 0.35)	Order	387	5	False
(0.15, 0.35)	Genus	382	0	True
(0.15, 0.35)	Family	348	4	False
(0.15, 0.35)	Class	317	5	False
(0.15, 0.35)	Phylum	312	2	False
(0.15, 0.35)	Family	298	3	False
(0.15, 0.35)	Family	298	2	False
(0.15, 0.35)	Class	273	4	False
(0.15, 0.35)	Order	259	4	False
(0.15, 0.35)	Order	246	3	False
(0.15, 0.35)	Phylum	202	1	False
(0.15, 0.35)	Class	193	3	False
(0.15, 0.35)	Family	179	1	False
(0.15, 0.35)	Class	166	1	False
(0.15, 0.35)	Order	158	2	False
(0.15, 0.35)	Class	156	2	False
(0.15, 0.35)	Order	135	1	False
(0.15, 0.35)	Genus	121	0	False
(0.15, 0.35)	Order	82	0	True
(0.15, 0.35)	Family	49	0	False
(0.15, 0.35)	Phylum	46	0	False
(0.15, 0.35)	Order	29	0	False
(0.15, 0.35)	Class	25	0	False
(0.15, 0.35)	Order	17	1	True
(0.15, 0.35)	Family	7	0	True
(0.15, 0.35)	Order	2	2	True
(0.15, 0.35)	Family	1	5	True
(0.15, 0.35)	Kingdom	1	5	False
(0.15, 0.35)	Family	1	1	True
(0.0, 0.05)	Species	351797	0	True
(0.0, 0.05)	Species	136636	1	True
(0.0, 0.05)	Species	91194	5	False
(0.0, 0.05)	Species	47088	2	True
(0.0, 0.05)	Species	45283	4	False
(0.0, 0.05)	Species	30756	3	False
(0.0, 0.05)	Species	19205	2	False
(0.0, 0.05)	Species	14094	3	True
(0.0, 0.05)	Species	7624	1	False
(0.0, 0.05)	Species	4140	4	True
(0.0, 0.05)	Genus	2797	5	False
(0.0, 0.05)	Genus	1847	4	False
(0.0, 0.05)	Genus	1671	3	False
(0.0, 0.05)	Kingdom	1435	2	True
(0.0, 0.05)	Kingdom	1416	1	True
(0.0, 0.05)	Genus	1375	2	False
(0.0, 0.05)	Class	1281	0	False
(0.0, 0.05)	Species	1228	5	True
(0.0, 0.05)	Class	1219	2	False
(0.0, 0.05)	Kingdom	1081	3	True
(0.0, 0.05)	Class	1078	3	False
(0.0, 0.05)	Class	1071	1	False
(0.0, 0.05)	Family	860	5	False
(0.0, 0.05)	Class	844	4	False
(0.0, 0.05)	Family	842	2	False
(0.0, 0.05)	Kingdom	824	0	True
(0.0, 0.05)	Class	804	5	False
(0.0, 0.05)	Species	799	0	False
(0.0, 0.05)	Family	795	3	False
(0.0, 0.05)	Phylum	792	2	False
(0.0, 0.05)	Family	789	4	False
(0.0, 0.05)	Genus	782	1	False
(0.0, 0.05)	Kingdom	737	4	True
(0.0, 0.05)	Phylum	711	1	False
(0.0, 0.05)	Kingdom	650	5	True
(0.0, 0.05)	Phylum	594	3	False
(0.0, 0.05)	Order	513	2	False
(0.0, 0.05)	Order	500	5	False
(0.0, 0.05)	Order	480	3	False
(0.0, 0.05)	Phylum	468	4	False
(0.0, 0.05)	Order	438	4	False
(0.0, 0.05)	Phylum	431	5	False
(0.0, 0.05)	Family	423	1	False
(0.0, 0.05)	Order	301	1	False
(0.0, 0.05)	Genus	227	0	True
(0.0, 0.05)	Phylum	190	0	False
(0.0, 0.05)	Family	157	0	True
(0.0, 0.05)	Phylum	64	1	True
(0.0, 0.05)	Phylum	63	2	True
(0.0, 0.05)	Genus	63	0	False
(0.0, 0.05)	Family	62	1	True
(0.0, 0.05)	Family	57	0	False
(0.0, 0.05)	Phylum	56	3	True
(0.0, 0.05)	Phylum	53	5	True
(0.0, 0.05)	Genus	40	1	True
(0.0, 0.05)	Phylum	36	4	True
(0.0, 0.05)	Order	36	0	False
(0.0, 0.05)	Phylum	14	0	True
(0.0, 0.05)	Family	13	2	True
(0.0, 0.05)	Genus	12	2	True
(0.0, 0.05)	Family	4	3	True
(0.0, 0.05)	Kingdom	3	3	False
(0.0, 0.05)	Kingdom	2	5	False
(0.0, 0.05)	Order	2	0	True
(0.0, 0.05)	Family	1	5	True
(0.0, 0.05)	Kingdom	1	2	False
(0.0, 0.05)	Kingdom	1	1	False
(0.15, 0.35)	Species	90307	5	False
(0.15, 0.35)	Species	47634	4	False
(0.15, 0.35)	Species	32939	3	False
(0.15, 0.35)	Species	21085	2	False
(0.15, 0.35)	Species	11269	1	False
(0.15, 0.35)	Species	6216	0	False
(0.15, 0.35)	Genus	3038	5	False
(0.15, 0.35)	Genus	2474	4	False
(0.15, 0.35)	Genus	1977	3	False
(0.15, 0.35)	Kingdom	1597	2	True
(0.15, 0.35)	Kingdom	1574	1	True
(0.15, 0.35)	Genus	1554	2	False
(0.15, 0.35)	Kingdom	1480	3	True
(0.15, 0.35)	Kingdom	1105	4	True
(0.15, 0.35)	Kingdom	1076	5	True
(0.15, 0.35)	Kingdom	1073	0	True
(0.15, 0.35)	Class	1053	2	False
(0.15, 0.35)	Class	1036	3	False
(0.15, 0.35)	Family	904	5	False
(0.15, 0.35)	Class	850	5	False
(0.15, 0.35)	Genus	850	1	False
(0.15, 0.35)	Class	814	4	False
(0.15, 0.35)	Family	780	2	False
(0.15, 0.35)	Family	765	4	False
(0.15, 0.35)	Family	754	3	False
(0.15, 0.35)	Order	693	3	False
(0.15, 0.35)	Order	678	4	False
(0.15, 0.35)	Order	639	5	False
(0.15, 0.35)	Class	639	1	False
(0.15, 0.35)	Order	634	2	False
(0.15, 0.35)	Family	546	1	False
(0.15, 0.35)	Phylum	544	3	False
(0.15, 0.35)	Phylum	536	5	False
(0.15, 0.35)	Phylum	530	4	False
(0.15, 0.35)	Phylum	467	2	False
(0.15, 0.35)	Phylum	396	1	False
(0.15, 0.35)	Order	369	1	False
(0.15, 0.35)	Phylum	175	2	True
(0.15, 0.35)	Class	173	0	False
(0.15, 0.35)	Phylum	172	1	True
(0.15, 0.35)	Family	159	0	False
(0.15, 0.35)	Phylum	139	0	True
(0.15, 0.35)	Genus	133	0	False
(0.15, 0.35)	Order	116	0	False
(0.15, 0.35)	Phylum	113	0	False
(0.15, 0.35)	Phylum	105	3	True
(0.15, 0.35)	Family	87	0	True
(0.15, 0.35)	Class	71	1	True
(0.15, 0.35)	Phylum	67	4	True
(0.15, 0.35)	Class	44	2	True
(0.15, 0.35)	Family	44	1	True
(0.15, 0.35)	Phylum	40	5	True
(0.15, 0.35)	Class	20	3	True
(0.15, 0.35)	Class	20	0	True
(0.15, 0.35)	Order	14	3	True
(0.15, 0.35)	Order	14	1	True
(0.15, 0.35)	Family	11	4	True
(0.15, 0.35)	Family	9	3	True
(0.15, 0.35)	Class	8	5	True
(0.15, 0.35)	Order	8	4	True
(0.15, 0.35)	Kingdom	8	1	False
(0.15, 0.35)	Order	5	5	True
(0.15, 0.35)	Family	5	2	True
(0.15, 0.35)	Family	4	5	True
(0.15, 0.35)	Kingdom	2	5	False
(0.15, 0.35)	Class	1	4	True
(0.15, 0.35)	Order	1	2	True
(0.15, 0.35)	Kingdom	1	0	False
(0.05, 0.15)	Species	108356	5	False
(0.05, 0.15)	Species	89313	3	False
(0.05, 0.15)	Species	88102	4	False
(0.05, 0.15)	Species	83514	2	False
(0.05, 0.15)	Species	58773	1	False
(0.05, 0.15)	Species	54347	0	False
(0.05, 0.15)	Phylum	4868	1	True
(0.05, 0.15)	Phylum	3678	2	True
(0.05, 0.15)	Genus	3471	2	False
(0.05, 0.15)	Genus	3454	3	False
(0.05, 0.15)	Genus	3390	5	False
(0.05, 0.15)	Family	3196	2	False
(0.05, 0.15)	Genus	3042	4	False
(0.05, 0.15)	Phylum	2653	0	True
(0.05, 0.15)	Family	2635	1	False
(0.05, 0.15)	Genus	2609	1	False
(0.05, 0.15)	Class	2581	1	True
(0.05, 0.15)	Family	2406	3	False
(0.05, 0.15)	Class	1869	0	True
(0.05, 0.15)	Phylum	1793	3	True
(0.05, 0.15)	Order	1753	2	False
(0.05, 0.15)	Kingdom	1735	1	True
(0.05, 0.15)	Family	1706	4	False
(0.05, 0.15)	Class	1706	2	False
(0.05, 0.15)	Class	1703	2	True
(0.05, 0.15)	Order	1612	1	False
(0.05, 0.15)	Order	1490	3	False
(0.05, 0.15)	Class	1466	1	False
(0.05, 0.15)	Kingdom	1393	2	True
(0.05, 0.15)	Family	1390	5	False
(0.05, 0.15)	Class	1222	3	False
(0.05, 0.15)	Family	1087	0	False
(0.05, 0.15)	Kingdom	950	3	True
(0.05, 0.15)	Order	944	4	False
(0.05, 0.15)	Class	885	3	True
(0.05, 0.15)	Class	881	4	False
(0.05, 0.15)	Phylum	828	4	True
(0.05, 0.15)	Order	744	5	False
(0.05, 0.15)	Class	736	5	False
(0.05, 0.15)	Genus	687	0	True
(0.05, 0.15)	Kingdom	675	5	True
(0.05, 0.15)	Kingdom	675	0	True
(0.05, 0.15)	Kingdom	653	4	True
(0.05, 0.15)	Genus	646	0	False
(0.05, 0.15)	Order	557	0	False
(0.05, 0.15)	Genus	447	1	True
(0.05, 0.15)	Class	413	0	False
(0.05, 0.15)	Family	408	0	True
(0.05, 0.15)	Phylum	394	5	True
(0.05, 0.15)	Class	349	4	True
(0.05, 0.15)	Family	278	1	True
(0.05, 0.15)	Phylum	244	5	False
(0.05, 0.15)	Phylum	174	3	False
(0.05, 0.15)	Phylum	166	4	False
(0.05, 0.15)	Genus	152	2	True
(0.05, 0.15)	Class	147	5	True
(0.05, 0.15)	Family	117	2	True
(0.05, 0.15)	Phylum	114	2	False
(0.05, 0.15)	Phylum	61	1	False
(0.05, 0.15)	Genus	55	3	True
(0.05, 0.15)	Family	38	3	True
(0.05, 0.15)	Family	31	4	True
(0.05, 0.15)	Genus	21	4	True
(0.05, 0.15)	Phylum	8	0	False
(0.05, 0.15)	Genus	6	5	True
(0.05, 0.15)	Kingdom	4	5	False
(0.05, 0.15)	Family	2	5	True
(0.05, 0.15)	Kingdom	1	3	False
(0.15, 0.35)	Species	58781	5	False
(0.15, 0.35)	Species	28334	4	False
(0.15, 0.35)	Species	17553	3	False
(0.15, 0.35)	Species	8462	2	False
(0.15, 0.35)	Species	2583	1	False
(0.15, 0.35)	Genus	1776	5	False
(0.15, 0.35)	Genus	1288	4	False
(0.15, 0.35)	Genus	920	3	False
